Character Name,Actor_gender,Actor_height,Actor_ethnicity,Actor_name,Actor_DOB_year,Character Type,word_count
Frank Martin,M,175.0,,Jason Statham,1967.0,consummate professional,2
Max Zorin,M,183.0,/m/01qhm_,Christopher Walken,1943.0,corrupt corporate executive,3
Harmonica,M,174.0,/m/0ffkb4,Charles Bronson,1921.0,fastest gun in the west,5
Harmonica,M,174.0,/m/0ffkb4,Charles Bronson,1921.0,revenge,1
Patrick Floyd 'Pat' Garrett,M,179.1,/m/0dqqwy,William Petersen,1953.0,retired outlaw,2
Kumar Patel,M,178.0,/m/0g0x7_,Kal Penn,1977.0,slacker,1
Kumar Patel,M,178.0,/m/0g0x7_,Kal Penn,1977.0,slacker,1
Kumar Patel,M,178.0,/m/0g0x7_,Kal Penn,1977.0,stoner,1
Captain Benjamin L. Willard,M,170.0,/m/042gtr,Martin Sheen,1940.0,father to his men,4
Gen. Robert E. Lee,M,170.0,/m/042gtr,Martin Sheen,1940.0,father to his men,4
Police Captain Hank Quinlan,M,185.4,,Orson Welles,1915.0,dirty cop,2
Charles Muntz,M,177.8,/m/044038p,Christopher Plummer,1929.0,egomaniac hunter,2
Tony Montana,M,170.0,/m/0xnvg,Al Pacino,1940.0,crazy jealous guy,3
Rooster,M,170.0,/m/0xnvg,Al Pacino,1940.0,dirty cop,2
Mayor Augustus Maywho,M,185.0,,Jeffrey Tambor,1944.0,corrupt corporate executive,3
Mad Hatter,M,178.0,/m/01qhm_,Johnny Depp,1963.0,broken bird,2
Captain Jack Sparrow,M,178.0,/m/01qhm_,Johnny Depp,1963.0,byronic hero,2
"John Wilmot, 2nd Earl of Rochester",M,178.0,/m/01qhm_,Johnny Depp,1963.0,byronic hero,2
"John Wilmot, 2nd Earl of Rochester",M,178.0,/m/01qhm_,Johnny Depp,1963.0,casanova,1
Captain Jack Sparrow,M,178.0,/m/01qhm_,Johnny Depp,1963.0,charmer,1
Captain Jack Sparrow,M,178.0,/m/01qhm_,Johnny Depp,1963.0,coward,1
Captain Jack Sparrow,M,178.0,/m/01qhm_,Johnny Depp,1963.0,loveable rogue,2
Captain Jack Sparrow,M,178.0,/m/01qhm_,Johnny Depp,1963.0,trickster,1
Captain Benjamin L. Willard,M,170.0,/m/042gtr,Martin Sheen,1940.0,father to his men,4
Gen. Robert E. Lee,M,170.0,/m/042gtr,Martin Sheen,1940.0,father to his men,4
Ed Dillinger,M,187.0,/m/041rx,David Warner,1941.0,corrupt corporate executive,3
David Sumner,M,166.0,/m/041rx,Dustin Hoffman,1937.0,tranquil fury,2
Vincent Vega,M,183.0,/m/0xnvg,John Travolta,1954.0,stupid crooks,2
Anakin Skywalker,M,187.0,,Hayden Christensen,1981.0,arrogant kungfu guy,3
Anakin Skywalker,M,187.0,,Hayden Christensen,1981.0,byronic hero,2
Jack Walsh,M,177.0,/m/0xnvg,Robert De Niro,1943.0,bounty hunter,2
Jake LaMotta,M,177.0,/m/0xnvg,Robert De Niro,1943.0,byronic hero,2
Travis Bickle,M,177.0,/m/0xnvg,Robert De Niro,1943.0,byronic hero,2
Sam 'Ace' Rothstein,M,177.0,/m/0xnvg,Robert De Niro,1943.0,consummate professional,2
Jake LaMotta,M,177.0,/m/0xnvg,Robert De Niro,1943.0,crazy jealous guy,3
Sam 'Ace' Rothstein,M,177.0,/m/0xnvg,Robert De Niro,1943.0,crazy jealous guy,3
Neil McCauley,M,177.0,/m/0xnvg,Robert De Niro,1943.0,gentleman thief,2
Nick Wells,M,177.0,/m/0xnvg,Robert De Niro,1943.0,gentleman thief,2
Max Cady,M,177.0,/m/0xnvg,Robert De Niro,1943.0,tranquil fury,2
Captain Benjamin L. Willard,M,170.0,/m/042gtr,Martin Sheen,1940.0,father to his men,4
