Character Name,Actor_gender,Actor_height,Actor_ethnicity,Actor_name,Actor_DOB_year,Character Type,word_count
Gen. Robert E. Lee,M,170.0,/m/042gtr,Martin Sheen,1940.0,father to his men,4
Cobb,M,183.0,/m/09kr66,Leonardo DiCaprio,1974.0,byronic hero,2
Frank Abagnale Jr.,M,183.0,/m/09kr66,Leonardo DiCaprio,1974.0,charmer,1
Cobb,M,183.0,/m/09kr66,Leonardo DiCaprio,1974.0,gentleman thief,2
John Robie,M,187.0,,Cary Grant,1904.0,gentleman thief,2
Mortimer Brewster,M,187.0,,Cary Grant,1904.0,psycho for hire,3
Walter Burns,M,187.0,,Cary Grant,1904.0,the editor,2
Johnny Farrell,M,180.29999999999998,/m/07bch9,Glenn Ford,1916.0,crazy jealous guy,3
Colonel Walter E. Kurtz,M,175.0,/m/07mqps,Marlon Brando,1924.0,warrior poet,2
Harry Dunne,M,191.0,/m/07hwkr,Jeff Daniels,1955.0,doormat,1
Dr. Ernest Menville,M,180.0,,Bruce Willis,1955.0,henpecked husband,2
Jimmy 'The Tulip' Tudeski,M,180.0,,Bruce Willis,1955.0,hitman with a heart,4
Mr. Goodkat,M,180.0,,Bruce Willis,1955.0,hitman with a heart,4
Achilles,M,180.0,,Brad Pitt,1963.0,byronic hero,2
Tyler Durden,M,180.0,,Brad Pitt,1963.0,trickster,1
Charles Muntz,M,177.8,/m/044038p,Christopher Plummer,1929.0,egomaniac hunter,2
Eames,M,178.0,/m/02w7gg,Tom Hardy,1977.0,loveable rogue,2
Ling Ling Fat,M,174.0,/m/03bx0k4,Stephen Chow,1962.0,gadgeteer genius,2
Nameless,M,167.6,/m/02p1pl6,Jet Li,1963.0,master swordsman,2
Jackson Rippner,M,175.0,/m/0d7wh,Cillian Murphy,1976.0,psycho for hire,3
Milo Boyd,M,188.0,/m/02g7sp,Gerard Butler,1969.0,bounty hunter,2
Capt. Nathan Cutting Brittles,M,193.0,/m/063k3h,John Wayne,1907.0,father to his men,4
Police Captain Hank Quinlan,M,185.4,,Orson Welles,1915.0,dirty cop,2
Ben Bradlee,M,176.5,,Jason Robards,1922.0,the editor,2
Capt. Nathan Cutting Brittles,M,193.0,/m/063k3h,John Wayne,1907.0,father to his men,4
Max Zorin,M,183.0,/m/01qhm_,Christopher Walken,1943.0,corrupt corporate executive,3
Loki,M,187.0,,Tom Hiddleston,1981.0,byronic hero,2
Captain Nicholls,M,187.0,,Tom Hiddleston,1981.0,officer and a gentleman,4
Loki,M,187.0,,Tom Hiddleston,1981.0,trickster,1
Mr. Kesuke Miyagi,M,160.0,/m/0cn68,Pat Morita,1932.0,eccentric mentor,2
Cutler Beckett,M,165.1,/m/02w7gg,Tom Hollander,1967.0,corrupt corporate executive,3
Cutler Beckett,M,165.1,/m/02w7gg,Tom Hollander,1967.0,corrupt corporate executive,3
Isaacs,M,165.1,/m/02w7gg,Tom Hollander,1967.0,psycho for hire,3
Jake McKenna,M,185.0,/m/03bkbh,Nick Nolte,1941.0,crazy jealous guy,3
Darth Vader,M,187.0,/m/0x67,James Earl Jones,1931.0,master swordsman,2
Martin Q. Blank,M,187.0,/m/033tf_,John Cusack,1966.0,byronic hero,2
Brand Hauser,M,187.0,/m/033tf_,John Cusack,1966.0,byronic hero,2
Rob Gordon,M,187.0,/m/033tf_,John Cusack,1966.0,loser protagonist,2
Lucius Fox,M,188.0,/m/0x67,Morgan Freeman,1937.0,gadgeteer genius,2
Ned Logan,M,188.0,/m/0x67,Morgan Freeman,1937.0,retired outlaw,2
Ratchet,M,176.5,/m/07hwkr,Greg Kinnear,1963.0,corrupt corporate executive,3
Jack Walsh,M,177.0,/m/0xnvg,Robert De Niro,1943.0,bounty hunter,2
Jake LaMotta,M,177.0,/m/0xnvg,Robert De Niro,1943.0,byronic hero,2
Travis Bickle,M,177.0,/m/0xnvg,Robert De Niro,1943.0,byronic hero,2
Sam 'Ace' Rothstein,M,177.0,/m/0xnvg,Robert De Niro,1943.0,consummate professional,2
Jake LaMotta,M,177.0,/m/0xnvg,Robert De Niro,1943.0,crazy jealous guy,3
Sam 'Ace' Rothstein,M,177.0,/m/0xnvg,Robert De Niro,1943.0,crazy jealous guy,3
Neil McCauley,M,177.0,/m/0xnvg,Robert De Niro,1943.0,gentleman thief,2
Nick Wells,M,177.0,/m/0xnvg,Robert De Niro,1943.0,gentleman thief,2
Max Cady,M,177.0,/m/0xnvg,Robert De Niro,1943.0,tranquil fury,2
Mr. Kesuke Miyagi,M,160.0,/m/0cn68,Pat Morita,1932.0,eccentric mentor,2
Geoffrey Clifton,M,187.0,/m/0d7wh,Colin Firth,1960.0,crazy jealous guy,3
Jasper Palmer,M,188.0,,Michael Caine,,granola person,2
Garth McCann,M,188.0,,Michael Caine,,storyteller,1
Tony Wendice,M,187.0,,Ray Milland,,crazy jealous guy,3
Indiana Jones,M,185.0,/m/01qhm_,Harrison Ford,,adventurer archaeologist,2
Indiana Jones,M,185.0,/m/01qhm_,Harrison Ford,,adventurer archaeologist,2
Indiana Jones,M,185.0,/m/01qhm_,Harrison Ford,,adventurer archaeologist,2
Rick Deckard,M,185.0,/m/01qhm_,Harrison Ford,,bounty hunter,2
Han Solo,M,185.0,/m/01qhm_,Harrison Ford,,charmer,1
Rick Deckard,M,185.0,/m/01qhm_,Harrison Ford,,hardboiled detective,2
Han Solo,M,185.0,/m/01qhm_,Harrison Ford,,loveable rogue,2
Han Solo,M,185.0,/m/01qhm_,Harrison Ford,,trickster,1
Johnny Wickham,M,185.0,,Daniel Gillies,,casanova,1
Jake McKenna,M,185.0,/m/03bkbh,Nick Nolte,,crazy jealous guy,3
Bill Django,M,185.0,,Jeff Bridges,,granola person,2
Kevin Flynn,M,185.0,,Jeff Bridges,,playful hacker,2
Geek,M,185.0,,Jeff Bridges,,surfer dude,2
Jake,M,185.0,/m/09vc4s,Kevin Costner,,young gun,2
Bill Django,M,185.0,,Jeff Bridges,,granola person,2
Kevin Flynn,M,185.0,,Jeff Bridges,,playful hacker,2
Geek,M,185.0,,Jeff Bridges,,surfer dude,2
Conan the Barbarian,M,188.0,/m/019lrz,Arnold Schwarzenegger,,revenge,1
Dr. Stephen Fleming,M,185.0,/m/02w7gg,Jeremy Irons,,crazy jealous guy,3
Professor Philip Brainard,M,170.2,,Robin Williams,,absent minded professor,3
Sheldon Mopes,M,183.0,,Edward Norton,,granola person,2
Sheldon Mopes,M,183.0,,Edward Norton,,granola person,2
Dr. Howard Bannister,M,185.0,/m/02ctzb,Ryan O'Neal,,henpecked husband,2
Tony Stark,M,175.0,/m/041rx,Robert Downey Jr.,,byronic hero,2
Tony Stark,M,175.0,/m/041rx,Robert Downey Jr.,,casanova,1
Tony Stark,M,175.0,/m/041rx,Robert Downey Jr.,,gadgeteer genius,2
Max Zorin,M,183.0,/m/01qhm_,Christopher Walken,,corrupt corporate executive,3
Aaron Hallam,M,185.0,/m/09v5bdn,Benicio del Toro,,pupil turned to evil,4
Count Dooku,M,196.0,,Christopher Lee,,pupil turned to evil,4
B.Z.,M,193.0,/m/07bch9,John Lithgow,,corrupt corporate executive,3
RoboCop,M,183.0,,Peter Weller,,fastest gun in the west,5
Kurgan,M,191.79999999999998,,Clancy Brown,,arrogant kungfu guy,3
B.Z.,M,193.0,/m/07bch9,John Lithgow,,corrupt corporate executive,3
Judge Doom,M,185.0,,Christopher Lloyd,,corrupt corporate executive,3
Bobby Tennison,M,178.0,/m/041rx,Fred Savage,,crazy jealous guy,3
Bobby Tennison,M,178.0,/m/041rx,Fred Savage,,crazy jealous guy,3
Jeff Bailey,M,185.4,,Robert Mitchum,,hardboiled detective,2
B.Z.,M,193.0,/m/07bch9,John Lithgow,,corrupt corporate executive,3
J. J. Gittes,M,177.0,/m/0xnvg,Jack Nicholson,,hardboiled detective,2
Jasper Palmer,M,188.0,,Michael Caine,,granola person,2
Garth McCann,M,188.0,,Michael Caine,,storyteller,1
Eddie Valiant,M,168.0,/m/09cqth,Bob Hoskins,,hardboiled detective,2
Martin Q. Blank,M,187.0,/m/033tf_,John Cusack,,byronic hero,2
Brand Hauser,M,187.0,/m/033tf_,John Cusack,,byronic hero,2
Rob Gordon,M,187.0,/m/033tf_,John Cusack,,loser protagonist,2
Beck,M,196.0,/m/07j80c,The Rock,,bounty hunter,2
John Winger,M,188.0,/m/033tf_,Bill Murray,,slacker,1
Mr. Universe,M,168.0,/m/041rx,David Krumholtz,,playful hacker,2
George McFly,M,185.0,/m/065b6q,Crispin Glover,,doormat,1
Dr. Ernest Menville,M,180.0,,Bruce Willis,,henpecked husband,2
Jimmy 'The Tulip' Tudeski,M,180.0,,Bruce Willis,,hitman with a heart,4
Mr. Goodkat,M,180.0,,Bruce Willis,,hitman with a heart,4
Michael Grates,M,173.0,/m/041rx,Ben Stiller,,romantic runnerup,2
Anakin Skywalker,M,187.0,,Hayden Christensen,,arrogant kungfu guy,3
Anakin Skywalker,M,187.0,,Hayden Christensen,,byronic hero,2
John Lee,M,183.0,/m/03bx0k4,Chow Yun-Fat,,hitman with a heart,4
Master Li Mu Bai,M,183.0,/m/03bx0k4,Chow Yun-Fat,,warrior poet,2
Dorian Gray,M,180.0,/m/03bkbh,Stuart Townsend,,casanova,1
Dorian Gray,M,180.0,/m/03bkbh,Stuart Townsend,,cultured badass,2
Jellon Lamb,M,175.0,/m/02w7gg,John Hurt,,bounty hunter,2
Yoda,M,188.0,/m/041rx,Frank Oz,,eccentric mentor,2
Sheldon Mopes,M,183.0,,Edward Norton,,granola person,2
Roy O'Bannon,M,180.0,/m/033tf_,Owen Wilson,,retired outlaw,2
Capt. Nathan Cutting Brittles,M,193.0,/m/063k3h,John Wayne,,father to his men,4
Heathcliff,M,178.0,,Laurence Olivier,,crazy jealous guy,3
Blade,M,175.29999999999998,/m/0x67,Wesley Snipes,,master swordsman,2
Tony Stark,M,175.0,/m/041rx,Robert Downey Jr.,,byronic hero,2
Tony Stark,M,175.0,/m/041rx,Robert Downey Jr.,,casanova,1
Tony Stark,M,175.0,/m/041rx,Robert Downey Jr.,,gadgeteer genius,2
Kurgan,M,191.79999999999998,,Clancy Brown,,arrogant kungfu guy,3
Jerry Lundegaard,M,175.0,/m/04tvpv,William H. Macy,,stupid crooks,2
Darth Vader,M,187.0,/m/0x67,James Earl Jones,,master swordsman,2
Jake,M,185.0,/m/09vc4s,Kevin Costner,,young gun,2
Nameless,M,167.6,/m/02p1pl6,Jet Li,,master swordsman,2
Ian Hawke,M,175.0,/m/03vv99,David Cross,,corrupt corporate executive,3
Chicken Joe,M,185.0,,Jon Heder,,surfer dude,2
Kingpin,M,196.0,/m/0x67,Michael Clarke Duncan,,corrupt corporate executive,3
Karl Childers,M,183.0,,Billy Bob Thornton,,dumb muscle,2
Michael Grates,M,173.0,/m/041rx,Ben Stiller,,romantic runnerup,2
Garth,M,185.0,,Chris Carmack,,jerk jock,2
Nick Randall,M,185.0,/m/05l3g_,Rutger Hauer,,bounty hunter,2
Capt. Nathan Cutting Brittles,M,193.0,/m/063k3h,John Wayne,,father to his men,4
Colorado Ryan,M,182.0,/m/065b6q,Ricky Nelson,,young gun,2
Butch Cassidy,M,177.0,/m/027n1m6,Paul Newman,,retired outlaw,2
Tony Montana,M,170.0,/m/0xnvg,Al Pacino,,crazy jealous guy,3
Rooster,M,170.0,/m/0xnvg,Al Pacino,,dirty cop,2
Capt. Nathan Cutting Brittles,M,193.0,/m/063k3h,John Wayne,,father to his men,4
Col. Paul Tanner,M,189.0,,Everett McGill,,psycho for hire,3
Ghost Dog,M,188.0,/m/05g0f1,Forest Whitaker,,cultured badass,2
Ghost Dog,M,188.0,/m/05g0f1,Forest Whitaker,,hitman with a heart,4
Kurgan,M,191.79999999999998,,Clancy Brown,,arrogant kungfu guy,3
Jeff Bailey,M,185.4,,Robert Mitchum,,hardboiled detective,2
Jack Walsh,M,177.0,/m/0xnvg,Robert De Niro,,bounty hunter,2
Jake LaMotta,M,177.0,/m/0xnvg,Robert De Niro,,byronic hero,2
Travis Bickle,M,177.0,/m/0xnvg,Robert De Niro,,byronic hero,2
Sam 'Ace' Rothstein,M,177.0,/m/0xnvg,Robert De Niro,,consummate professional,2
Jake LaMotta,M,177.0,/m/0xnvg,Robert De Niro,,crazy jealous guy,3
Sam 'Ace' Rothstein,M,177.0,/m/0xnvg,Robert De Niro,,crazy jealous guy,3
Neil McCauley,M,177.0,/m/0xnvg,Robert De Niro,,gentleman thief,2
Nick Wells,M,177.0,/m/0xnvg,Robert De Niro,,gentleman thief,2
Max Cady,M,177.0,/m/0xnvg,Robert De Niro,,tranquil fury,2
J. J. Gittes,M,177.0,/m/0xnvg,Jack Nicholson,,hardboiled detective,2
Tony Wendice,M,187.0,,Ray Milland,,crazy jealous guy,3
Gaear Grimsrud,M,189.2,/m/065b6q,Peter Stormare,,psycho for hire,3
Julian Noble,M,188.0,/m/03bkbh,Pierce Brosnan,,hitman with a heart,4
William H. 'Billy the Kid' Bonney,M,163.79999999999998,/m/042gtr,Emilio Estevez,,young gun,2
Dick Jones,M,188.0,,Ronny Cox,,corrupt corporate executive,3
Lt. Andrew Bogomil,M,188.0,,Ronny Cox,,the chief,2
RoboCop,M,183.0,,Peter Weller,,fastest gun in the west,5
RoboCop,M,183.0,,Peter Weller,,fastest gun in the west,5
Captain Benjamin L. Willard,M,170.0,/m/042gtr,Martin Sheen,,father to his men,4
Gen. Robert E. Lee,M,170.0,/m/042gtr,Martin Sheen,,father to his men,4
Bud White,M,180.0,/m/05748,Russell Crowe,,crazy jealous guy,3
Ben Wade,M,180.0,/m/05748,Russell Crowe,,fastest gun in the west,5
Maximus Decimus Meridius,M,180.0,/m/05748,Russell Crowe,,father to his men,4
Jack Aubrey,M,180.0,/m/05748,Russell Crowe,,father to his men,4
Jack Aubrey,M,180.0,/m/05748,Russell Crowe,,officer and a gentleman,4
Cutler Beckett,M,165.1,/m/02w7gg,Tom Hollander,,corrupt corporate executive,3
Cutler Beckett,M,165.1,/m/02w7gg,Tom Hollander,,corrupt corporate executive,3
Isaacs,M,165.1,/m/02w7gg,Tom Hollander,,psycho for hire,3
Gaear Grimsrud,M,189.2,/m/065b6q,Peter Stormare,,psycho for hire,3
John Lee,M,183.0,/m/03bx0k4,Chow Yun-Fat,,hitman with a heart,4
Master Li Mu Bai,M,183.0,/m/03bx0k4,Chow Yun-Fat,,warrior poet,2
Gaear Grimsrud,M,189.2,/m/065b6q,Peter Stormare,,psycho for hire,3
Capt. Nathan Cutting Brittles,M,193.0,/m/063k3h,John Wayne,,father to his men,4
Martin Q. Blank,M,187.0,/m/033tf_,John Cusack,,byronic hero,2
Brand Hauser,M,187.0,/m/033tf_,John Cusack,,byronic hero,2
Rob Gordon,M,187.0,/m/033tf_,John Cusack,,loser protagonist,2
Tallahassee,M,178.0,,Woody Harrelson,,heartbroken badass,2
Bret Maverick,M,177.0,/m/03gskx0,Mel Gibson,,fastest gun in the west,5
Max Rockatansky,M,177.0,/m/03gskx0,Mel Gibson,,heartbroken badass,2
Prince Nuada,M,185.0,/m/02w7gg,Luke Goss,,evil prince,2
Mr. Blonde,M,188.0,,Michael Madsen,,psycho for hire,3
Maj. John Reisman,M,188.0,,Lee Marvin,,drill sargeant nasty,3
Tony Wendice,M,187.0,,Ray Milland,,crazy jealous guy,3
Lord Nelson Rathbone,M,178.0,/m/03bkbh,Aidan Gillen,,evil prince,2
Capt. Nathan Cutting Brittles,M,193.0,/m/063k3h,John Wayne,,father to his men,4
Tony Stark,M,175.0,/m/041rx,Robert Downey Jr.,,byronic hero,2
Tony Stark,M,175.0,/m/041rx,Robert Downey Jr.,,casanova,1
Tony Stark,M,175.0,/m/041rx,Robert Downey Jr.,,gadgeteer genius,2
Tony Stark,M,175.0,/m/041rx,Robert Downey Jr.,,byronic hero,2
Tony Stark,M,175.0,/m/041rx,Robert Downey Jr.,,casanova,1
Tony Stark,M,175.0,/m/041rx,Robert Downey Jr.,,gadgeteer genius,2
Tool,M,180.0,/m/033tf_,Mickey Rourke,,warrior poet,2
Abel Turner,M,189.0,/m/0x67,Samuel L. Jackson,,dirty cop,2
Tool,M,180.0,/m/033tf_,Mickey Rourke,,warrior poet,2
Police Captain Hank Quinlan,M,185.4,,Orson Welles,,dirty cop,2
Gny. Sgt. Hartman,M,182.0,,R. Lee Ermey,,drill sargeant nasty,3
John Robie,M,187.0,,Cary Grant,,gentleman thief,2
Mortimer Brewster,M,187.0,,Cary Grant,,psycho for hire,3
Walter Burns,M,187.0,,Cary Grant,,the editor,2
Bud White,M,180.0,/m/05748,Russell Crowe,,crazy jealous guy,3
Ben Wade,M,180.0,/m/05748,Russell Crowe,,fastest gun in the west,5
Maximus Decimus Meridius,M,180.0,/m/05748,Russell Crowe,,father to his men,4
Jack Aubrey,M,180.0,/m/05748,Russell Crowe,,father to his men,4
Jack Aubrey,M,180.0,/m/05748,Russell Crowe,,officer and a gentleman,4
Leonard,M,180.0,/m/03cbkrf,Guy Pearce,,revenge,1
Chico,M,176.5,,Horst Buchholz,,young gun,2
Nizam,M,173.0,/m/0dryh9k,Ben Kingsley,,evil prince,2
Frank Falenczyk,M,173.0,/m/0dryh9k,Ben Kingsley,,hitman with a heart,4
Guy,M,171.0,,Frank Whaley,,crazy jealous guy,3
Ed Dillinger,M,187.0,/m/041rx,David Warner,,corrupt corporate executive,3
Max Zorin,M,183.0,/m/01qhm_,Christopher Walken,,corrupt corporate executive,3
John Lee,M,183.0,/m/03bx0k4,Chow Yun-Fat,,hitman with a heart,4
Master Li Mu Bai,M,183.0,/m/03bx0k4,Chow Yun-Fat,,warrior poet,2
The Predator,M,173.0,/m/0g8_vp,Peter Cullen,,egomaniac hunter,2
Achilles,M,180.0,,Brad Pitt,,byronic hero,2
Tyler Durden,M,180.0,,Brad Pitt,,trickster,1
Ben Bradlee,M,176.5,,Jason Robards,,the editor,2
Mr. Kesuke Miyagi,M,160.0,/m/0cn68,Pat Morita,,eccentric mentor,2
Indiana Jones,M,185.0,/m/01qhm_,Harrison Ford,,adventurer archaeologist,2
Indiana Jones,M,185.0,/m/01qhm_,Harrison Ford,,adventurer archaeologist,2
Indiana Jones,M,185.0,/m/01qhm_,Harrison Ford,,adventurer archaeologist,2
Rick Deckard,M,185.0,/m/01qhm_,Harrison Ford,,bounty hunter,2
Han Solo,M,185.0,/m/01qhm_,Harrison Ford,,charmer,1
Rick Deckard,M,185.0,/m/01qhm_,Harrison Ford,,hardboiled detective,2
Han Solo,M,185.0,/m/01qhm_,Harrison Ford,,loveable rogue,2
Han Solo,M,185.0,/m/01qhm_,Harrison Ford,,trickster,1
Mr. Bean,M,180.0,,Rowan Atkinson,,ditz,1
Geoffrey Clifton,M,187.0,/m/0d7wh,Colin Firth,,crazy jealous guy,3
Paul Metzler,M,185.0,/m/07hwkr,Chris Klein,,big man on campus,4
Paul Metzler,M,185.0,/m/07hwkr,Chris Klein,,brainless beauty,2
Harold Lee,M,178.0,/m/01j2qv,John Cho,,stoner,1
Police Captain Hank Quinlan,M,185.4,,Orson Welles,,dirty cop,2
Toombs,M,188.0,,Nick Chinlund,,bounty hunter,2
Sol,M,176.5,/m/04608z,Lennie James,,stupid crooks,2
Mr. Bean,M,180.0,,Rowan Atkinson,,ditz,1
Tom Sawyer,M,182.0,/m/0fqz6,Shane West,,young gun,2
Captain Nemo,M,178.0,/m/0dryh9k,Naseeruddin Shah,,father to his men,4
Heathcliff,M,178.0,,Laurence Olivier,,crazy jealous guy,3
Cutler Beckett,M,165.1,/m/02w7gg,Tom Hollander,,corrupt corporate executive,3
Cutler Beckett,M,165.1,/m/02w7gg,Tom Hollander,,corrupt corporate executive,3
Isaacs,M,165.1,/m/02w7gg,Tom Hollander,,psycho for hire,3
Mad Hatter,M,178.0,/m/01qhm_,Johnny Depp,,broken bird,2
Captain Jack Sparrow,M,178.0,/m/01qhm_,Johnny Depp,,byronic hero,2
"John Wilmot, 2nd Earl of Rochester",M,178.0,/m/01qhm_,Johnny Depp,,byronic hero,2
"John Wilmot, 2nd Earl of Rochester",M,178.0,/m/01qhm_,Johnny Depp,,casanova,1
Captain Jack Sparrow,M,178.0,/m/01qhm_,Johnny Depp,,charmer,1
Captain Jack Sparrow,M,178.0,/m/01qhm_,Johnny Depp,,coward,1
Captain Jack Sparrow,M,178.0,/m/01qhm_,Johnny Depp,,loveable rogue,2
Captain Jack Sparrow,M,178.0,/m/01qhm_,Johnny Depp,,trickster,1
Norrington,M,185.4,,Jack Davenport,,officer and a gentleman,4
James Norrington,M,185.4,,Jack Davenport,,romantic runnerup,2
Michael Grates,M,173.0,/m/041rx,Ben Stiller,,romantic runnerup,2
Sheriff Woody,M,183.0,/m/02p4q5p,Tom Hanks,,fastest gun in the west,5
RoboCop,M,183.0,,Peter Weller,,fastest gun in the west,5
Abel Turner,M,189.0,/m/0x67,Samuel L. Jackson,,dirty cop,2
Julian Mercer,M,186.0,/m/03bkbh,Keanu Reeves,,romantic runnerup,2
"Ted ""Theodore"" Logan",M,186.0,/m/03bkbh,Keanu Reeves,,stoner,1
"Ted ""Theodore"" Logan",M,186.0,/m/03bkbh,Keanu Reeves,,surfer dude,2
Professor Philip Brainard,M,170.2,,Robin Williams,,absent minded professor,3
Frank N. Furter,M,175.0,/m/02w7gg,Tim Curry,,crazy jealous guy,3
Mr. Kesuke Miyagi,M,160.0,/m/0cn68,Pat Morita,,eccentric mentor,2
Police Captain Hank Quinlan,M,185.4,,Orson Welles,,dirty cop,2
General Kuribayashi,M,185.0,/m/019kn7,Ken Watanabe,,father to his men,4
Katsumoto,M,185.0,/m/019kn7,Ken Watanabe,,warrior poet,2
Ned Schneebly,M,175.0,/m/02ctzb,Mike White,,henpecked husband,2
Chris Knight,M,183.0,/m/07bch9,Val Kilmer,,child prodigy,2
Madmartigan,M,183.0,/m/07bch9,Val Kilmer,,master swordsman,2
Dr. Stephen Fleming,M,185.0,/m/02w7gg,Jeremy Irons,,crazy jealous guy,3
Dennis Peck,M,180.0,/m/033tf_,Richard Gere,,dirty cop,2
Sheldon Mopes,M,183.0,,Edward Norton,,granola person,2
Johnny Farrell,M,180.29999999999998,/m/07bch9,Glenn Ford,,crazy jealous guy,3
Jay,M,183.0,/m/022dp5,Jason Mewes,,stoner,1
Frank N. Furter,M,175.0,/m/02w7gg,Tim Curry,,crazy jealous guy,3
Jasper Palmer,M,188.0,,Michael Caine,,granola person,2
Garth McCann,M,188.0,,Michael Caine,,storyteller,1
Blade,M,175.29999999999998,/m/0x67,Wesley Snipes,,master swordsman,2
Horton the Elephant,M,186.7,/m/0g8_vp,Jim Carrey,,warrior poet,2
Michael Grates,M,173.0,/m/041rx,Ben Stiller,,romantic runnerup,2
Hellboy,M,185.0,/m/041rx,Ron Perlman,,bruiser with a soft center,5
Count Dooku,M,196.0,,Christopher Lee,,pupil turned to evil,4
Bill,M,185.0,/m/07bch9,David Carradine,,crazy jealous guy,3
Bill,M,185.0,/m/07bch9,David Carradine,,heartbroken badass,2
Bill,M,185.0,/m/07bch9,David Carradine,,master swordsman,2
Gaear Grimsrud,M,189.2,/m/065b6q,Peter Stormare,,psycho for hire,3
Biff Tannen,M,191.0,,Thomas F. Wilson,,bully,1
Biff Tannen,M,191.0,,Thomas F. Wilson,,jerk jock,2
Clayton,M,175.29999999999998,/m/02w7gg,Brian Blessed,,egomaniac hunter,2
Max Zorin,M,183.0,/m/01qhm_,Christopher Walken,,corrupt corporate executive,3
Jerry Lundegaard,M,175.0,/m/04tvpv,William H. Macy,,stupid crooks,2
Captain Nemo,M,178.0,/m/0dryh9k,Naseeruddin Shah,,father to his men,4
Sgt. Hulka,M,182.0,,Warren Oates,,drill sargeant nasty,3
Khan Noonien Singh,M,183.0,/m/09k5jvk,Ricardo Montalbán,,revenge,1
Mr. Kesuke Miyagi,M,160.0,/m/0cn68,Pat Morita,,eccentric mentor,2
Mad Hatter,M,178.0,/m/01qhm_,Johnny Depp,,broken bird,2
Captain Jack Sparrow,M,178.0,/m/01qhm_,Johnny Depp,,byronic hero,2
