Character Name,Actor_gender,Actor_height,Actor_ethnicity,Actor_name,Actor_DOB_year,Character Type,word_count
Jen Yu,F,163.0,,Zhang Ziyi,1979.0,arrogant kungfu guy,3
Margo Channing,F,160.0,,Bette Davis,1908.0,prima donna,2
Laurie Strode,F,175.0,/m/048z7l,Jamie Lee Curtis,1958.0,final girl,2
Sidney Prescott,F,170.0,/m/092h2qt,Neve Campbell,1973.0,final girl,2
Susie Diamond,F,171.0,/m/065b6q,Michelle Pfeiffer,1958.0,chanteuse,1
Sidney Prescott,F,170.0,/m/092h2qt,Neve Campbell,1973.0,final girl,2
Kitty Packard,F,155.0,,Jean Harlow,1911.0,dumb blonde,2
Dorothy Vallens,F,173.0,/m/065b6q,Isabella Rossellini,,chanteuse,1
Laurie Strode,F,175.0,/m/048z7l,Jamie Lee Curtis,,final girl,2
Mia Thermopolis,F,173.0,/m/02ctzb,Anne Hathaway,,klutz,1
Maggie Feller,F,175.0,/m/042gtr,Cameron Diaz,,brainless beauty,2
Tina Carlyle,F,175.0,/m/042gtr,Cameron Diaz,,chanteuse,1
Lotte Schwartz,F,175.0,/m/042gtr,Cameron Diaz,,granola person,2
Margo Channing,F,160.0,,Bette Davis,,prima donna,2
Sharpay Evans,F,160.0,/m/041rx,Ashley Tisdale,,prima donna,2
Sharpay Evans,F,160.0,/m/041rx,Ashley Tisdale,,prima donna,2
Sharpay Evans,F,160.0,/m/041rx,Ashley Tisdale,,prima donna,2
Sarah Connor,F,168.0,,Linda Hamilton,,final girl,2
Sidney Prescott,F,170.0,/m/092h2qt,Neve Campbell,,final girl,2
Chelsea Deardon,F,178.0,,Daryl Hannah,,broken bird,2
Dorothy Vallens,F,173.0,/m/065b6q,Isabella Rossellini,,chanteuse,1
Mia Thermopolis,F,173.0,/m/02ctzb,Anne Hathaway,,klutz,1
Maggie Feller,F,175.0,/m/042gtr,Cameron Diaz,,brainless beauty,2
Tina Carlyle,F,175.0,/m/042gtr,Cameron Diaz,,chanteuse,1
Lotte Schwartz,F,175.0,/m/042gtr,Cameron Diaz,,granola person,2
Ellen Aim,F,170.0,,Diane Lane,,chanteuse,1
Chelsea Deardon,F,178.0,,Daryl Hannah,,broken bird,2
Suzanne Stone Maretto,F,179.1,/m/03bkbh,Nicole Kidman,,dumb blonde,2
Margo Channing,F,160.0,,Bette Davis,,prima donna,2
Susie Diamond,F,171.0,/m/065b6q,Michelle Pfeiffer,,chanteuse,1
Sidney Prescott,F,170.0,/m/092h2qt,Neve Campbell,,final girl,2
Ellen Ripley,F,182.0,,Sigourney Weaver,,final girl,2
Chelsea Deardon,F,178.0,,Daryl Hannah,,broken bird,2
Ana Pascal,F,175.0,/m/065b6q,Maggie Gyllenhaal,,granola person,2
Margo Channing,F,160.0,,Bette Davis,,prima donna,2
Ellen Aim,F,170.0,,Diane Lane,,chanteuse,1
Sidney Prescott,F,170.0,/m/092h2qt,Neve Campbell,,final girl,2
Cassie Holmes,F,163.0,/m/01qhm_,Dakota Fanning,,junkie prophet,2
Nina Sayers,F,160.0,/m/04ydrsn,Natalie Portman,,broken bird,2
Ana Pascal,F,175.0,/m/065b6q,Maggie Gyllenhaal,,granola person,2
Jen Yu,F,163.0,,Zhang Ziyi,,arrogant kungfu guy,3
Sidney Prescott,F,170.0,/m/092h2qt,Neve Campbell,,final girl,2
Sarah Connor,F,168.0,,Linda Hamilton,,final girl,2
Chelsea Deardon,F,178.0,,Daryl Hannah,,broken bird,2
